M,AD(M),0.5,0.45,0.4,0.35,0.3,0.25,0.2,0.15,0.1,0.05
7.6,3.74,0.937307,0.934443,0.930365,0.92452,0.915959,0.902459,0.880701,0.843745,0.774502,0.632637,0.0
7.65,3.962,0.940755,0.938122,0.934422,0.929079,0.920921,0.908461,0.888008,0.852317,0.786409,0.645863,0.0
7.7,4.196,0.943904,0.941456,0.937988,0.933,0.925689,0.913794,0.894449,0.860559,0.79726,0.658596,0.0
7.75,4.445,0.950566,0.948311,0.94515,0.940437,0.933452,0.922637,0.9043,0.872002,0.810363,0.673889,0.0
7.8,4.708,0.955646,0.953556,0.950635,0.94639,0.939925,0.92966,0.912502,0.881627,0.821992,0.688502,0.0
7.85,4.987,0.959618,0.957656,0.954898,0.950975,0.945132,0.935605,0.919658,0.890365,0.832622,0.702352,0.0
7.9,5.283,0.963102,0.961282,0.958789,0.955224,0.949713,0.941112,0.925995,0.898284,0.842743,0.716204,0.0
7.95,5.596,0.965485,0.963771,0.961408,0.958057,0.953218,0.945111,0.931398,0.905415,0.851736,0.729332,0.0
8.0,5.928,0.967866,0.966248,0.964004,0.960839,0.95619,0.948993,0.936271,0.911641,0.860514,0.74116,0.0
8.05,6.279,0.977671,0.976153,0.974097,0.971119,0.966652,0.959783,0.947988,0.925139,0.875759,0.758003,0.0
8.1,6.651,0.978301,0.976861,0.974891,0.972143,0.968116,0.961548,0.950769,0.929657,0.882881,0.767458,0.0
8.15,7.045,0.978914,0.977556,0.975698,0.973089,0.969267,0.963311,0.952946,0.933452,0.88942,0.776916,0.0
8.2,7.462,0.979551,0.978271,0.9765,0.974008,0.9704,0.964794,0.95513,0.937218,0.895702,0.786289,0.0
8.25,7.905,0.979996,0.978803,0.977217,0.974965,0.971483,0.966161,0.957353,0.940001,0.901923,0.795496,0.0
8.3,8.373,0.980404,0.979261,0.97773,0.97563,0.97263,0.967494,0.959015,0.942835,0.9072,0.804721,0.0
8.35,8.869,0.980812,0.979723,0.97827,0.976241,0.973344,0.968882,0.96074,0.945735,0.912039,0.813694,0.0
8.4,9.395,0.981214,0.980174,0.978774,0.976849,0.974075,0.969851,0.962438,0.948056,0.916178,0.822887,0.0
8.45,9.951,0.98164,0.98065,0.979308,0.977448,0.974788,0.970735,0.964095,0.950336,0.919961,0.831384,0.0
8.5,10.541,0.981932,0.981,0.97978,0.978083,0.975505,0.971617,0.965178,0.952562,0.923798,0.839834,0.0
8.55,11.166,0.982198,0.981297,0.980112,0.978515,0.976265,0.972485,0.966326,0.954916,0.927312,0.848248,0.0
8.6,11.827,0.982481,0.981612,0.980464,0.978908,0.976724,0.973405,0.967414,0.956409,0.930396,0.855302,0.0
8.65,12.528,0.982753,0.98192,0.980826,0.979325,0.977193,0.974031,0.968545,0.957918,0.933526,0.861747,0.0
8.7,13.27,0.983024,0.982223,0.981162,0.979725,0.97769,0.974598,0.969643,0.959404,0.936764,0.867183,0.0
8.75,14.057,0.983312,0.982543,0.981519,0.980123,0.978154,0.975198,0.970339,0.960906,0.939327,0.872362,0.0
8.8,14.889,0.983616,0.982883,0.981897,0.980545,0.978629,0.975773,0.971076,0.962497,0.941429,0.877712,0.0
8.85,15.772,0.983773,0.983082,0.982209,0.980992,0.979131,0.976345,0.971855,0.963471,0.943596,0.882575,0.0
8.9,16.706,0.983882,0.983204,0.982344,0.981221,0.979663,0.97695,0.972557,0.964453,0.945726,0.887066,0.0
8.95,17.696,0.983997,0.983332,0.982487,0.98138,0.979874,0.977591,0.973301,0.965493,0.947983,0.891674,0.0
9.0,18.745,0.98412,0.983469,0.982638,0.981549,0.980063,0.977922,0.974089,0.96647,0.949739,0.896497,0.0
